mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_copy_X,param_fit_intercept,param_normalize,param_positive,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,split5_test_r2,split6_test_r2,split7_test_r2,split8_test_r2,split9_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,split3_test_neg_mean_squared_error,split4_test_neg_mean_squared_error,split5_test_neg_mean_squared_error,split6_test_neg_mean_squared_error,split7_test_neg_mean_squared_error,split8_test_neg_mean_squared_error,split9_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error
0.024802160263061524,0.0021803022739425044,0.0013079881668090821,0.0004645278292520578,True,True,True,True,"{'copy_X': True, 'fit_intercept': True, 'normalize': True, 'positive': True}",0.33978130389529637,0.26875198734659556,0.19261260321583862,0.28235131455094686,0.4000159746889532,0.17448001243476507,0.39037855171228564,0.4202899864166957,0.26694640621386256,0.328343638855203,0.3063951779330442,0.0801784661560903,15,-0.417556132698395,-0.6018137936007448,-1.494987280549065,-0.9076084036382521,-0.586566055801623,-0.894422191779719,-0.9369541077893634,-0.3527694624836724,-0.25330615889924923,-0.5350885298373661,-0.698107211707745,0.34908451594530765,15
0.024921059608459473,0.007181810109690026,0.0011011838912963867,0.00030502705097651395,True,True,True,False,"{'copy_X': True, 'fit_intercept': True, 'normalize': True, 'positive': False}",0.34660946454484887,0.269116450666977,0.2020745616327334,0.2936646821473311,0.4016932381682313,0.17525967992224,0.3961854370391428,0.4266996436496796,0.27692772310527813,0.33076360581116104,0.3118994486687623,0.08001538870448228,7,-0.4132376540320194,-0.6015138419432065,-1.477467181104011,-0.8933004174158542,-0.5849263024380726,-0.8935774491768615,-0.9280292494600798,-0.3488690100439987,-0.24985712179752503,-0.5331606145586192,-0.6923938841970247,0.3449119296621667,5
0.02470264434814453,0.004668552061389802,0.0011902570724487305,0.0004060357307596398,True,True,False,True,"{'copy_X': True, 'fit_intercept': True, 'normalize': False, 'positive': True}",0.33978130389531025,0.26875198734663563,0.1926126032158032,0.2823513145509501,0.400015974688936,0.17448001243484346,0.39037855171235814,0.42028998641669923,0.26694640621385735,0.3283436388552,0.3063951779330593,0.08017846615608729,13,-0.4175561326983862,-0.601813793600712,-1.4949872805491307,-0.9076084036382481,-0.5865660558016399,-0.8944221917796341,-0.936954107789252,-0.35276946248367025,-0.253306158899251,-0.5350885298373684,-0.6981072117077293,0.3490845159453109,13
0.019238543510437012,0.0008826626237780598,0.0011310815811157227,0.0004569857346172547,True,True,False,False,"{'copy_X': True, 'fit_intercept': True, 'normalize': False, 'positive': False}",0.34660946454484864,0.26911645066697754,0.2020745616327334,0.2936646821473312,0.4016932381682313,0.17525967992224012,0.396185437039143,0.4266996436496795,0.27692772310527836,0.3307636058111616,0.3118994486687624,0.08001538870448224,5,-0.4132376540320195,-0.601513841943206,-1.477467181104011,-0.8933004174158541,-0.5849263024380726,-0.8935774491768614,-0.9280292494600796,-0.34886901004399873,-0.24985712179752495,-0.5331606145586187,-0.6923938841970247,0.3449119296621667,5
0.0191098690032959,0.000961312345293793,0.0013814210891723634,0.000496743853095754,True,False,True,True,"{'copy_X': True, 'fit_intercept': False, 'normalize': True, 'positive': True}",0.33984668639244653,0.26889382364161196,0.1928863940164044,0.28244463769273986,0.40007471202236156,0.17485472837440674,0.3912342556931846,0.42037675771490723,0.2688910210613673,0.3284811513002198,0.306798416790965,0.0800900543166527,9,-0.4175147814570302,-0.6016970629740668,-1.4944803197443663,-0.9074903781064528,-0.5865086320627697,-0.8940162000931731,-0.9356389385770484,-0.35271665976591376,-0.2526341985927514,-0.5349789777862055,-0.6977676149159778,0.34895341644313865,9
0.01539938449859619,0.0004967674438476023,0.001183485984802246,0.0004095368954888857,True,False,True,False,"{'copy_X': True, 'fit_intercept': False, 'normalize': True, 'positive': False}",0.3466643052921299,0.26939554295594326,0.20209751515265562,0.29366922960085173,0.40255615446705695,0.17614213986609695,0.3968741765398611,0.4267939083051395,0.2776670830923358,0.33096850428616176,0.3122828559558232,0.08000507665335377,1,-0.41320296993342587,-0.6012841502568276,-1.4774246795484203,-0.8932946662633556,-0.5840826842940284,-0.8926213345230296,-0.9269706953258586,-0.34881164741258186,-0.24960163646882202,-0.5329973780732724,-0.6920291842099622,0.3448552299885282,1
0.019496893882751463,0.0011082139630558753,0.001098966598510742,0.00030228302139218656,True,False,False,True,"{'copy_X': True, 'fit_intercept': False, 'normalize': False, 'positive': True}",0.33984668639244653,0.26889382364161196,0.1928863940164044,0.28244463769273986,0.40007471202236156,0.17485472837440674,0.3912342556931846,0.42037675771490723,0.2688910210613673,0.3284811513002198,0.306798416790965,0.0800900543166527,9,-0.4175147814570302,-0.6016970629740668,-1.4944803197443663,-0.9074903781064528,-0.5865086320627697,-0.8940162000931731,-0.9356389385770484,-0.35271665976591376,-0.2526341985927514,-0.5349789777862055,-0.6977676149159778,0.34895341644313865,9
0.015131187438964844,0.0009478591939451516,0.0011671781539916992,0.000298777203474237,True,False,False,False,"{'copy_X': True, 'fit_intercept': False, 'normalize': False, 'positive': False}",0.3466643052921299,0.26939554295594326,0.20209751515265562,0.29366922960085173,0.40255615446705695,0.17614213986609695,0.3968741765398611,0.4267939083051395,0.2776670830923358,0.33096850428616176,0.3122828559558232,0.08000507665335377,1,-0.41320296993342587,-0.6012841502568276,-1.4774246795484203,-0.8932946662633556,-0.5840826842940284,-0.8926213345230296,-0.9269706953258586,-0.34881164741258186,-0.24960163646882202,-0.5329973780732724,-0.6920291842099622,0.3448552299885282,1
0.02201070785522461,0.0008921767171965705,0.0012840032577514648,0.00044989221045283866,False,True,True,True,"{'copy_X': False, 'fit_intercept': True, 'normalize': True, 'positive': True}",0.33978130389529637,0.26875198734659556,0.19261260321583862,0.28235131455094686,0.4000159746889532,0.17448001243476507,0.39037855171228564,0.4202899864166957,0.26694640621386256,0.328343638855203,0.3063951779330442,0.0801784661560903,15,-0.417556132698395,-0.6018137936007448,-1.494987280549065,-0.9076084036382521,-0.586566055801623,-0.894422191779719,-0.9369541077893634,-0.3527694624836724,-0.25330615889924923,-0.5350885298373661,-0.698107211707745,0.34908451594530765,15
0.01999354362487793,0.0008276140174646428,0.0010438680648803711,0.00036156909827046057,False,True,True,False,"{'copy_X': False, 'fit_intercept': True, 'normalize': True, 'positive': False}",0.34660946454484887,0.269116450666977,0.2020745616327334,0.2936646821473311,0.4016932381682313,0.17525967992224,0.3961854370391428,0.4266996436496796,0.27692772310527813,0.33076360581116104,0.3118994486687623,0.08001538870448228,7,-0.4132376540320194,-0.6015138419432065,-1.477467181104011,-0.8933004174158542,-0.5849263024380726,-0.8935774491768615,-0.9280292494600798,-0.3488690100439987,-0.24985712179752503,-0.5331606145586192,-0.6923938841970247,0.3449119296621667,5
0.01979844570159912,0.0009674969305081381,0.001194930076599121,0.0004058794566387994,False,True,False,True,"{'copy_X': False, 'fit_intercept': True, 'normalize': False, 'positive': True}",0.33978130389531025,0.26875198734663563,0.1926126032158032,0.2823513145509501,0.400015974688936,0.17448001243484346,0.39037855171235814,0.42028998641669923,0.26694640621385735,0.3283436388552,0.3063951779330593,0.08017846615608729,13,-0.4175561326983862,-0.601813793600712,-1.4949872805491307,-0.9076084036382481,-0.5865660558016399,-0.8944221917796341,-0.936954107789252,-0.35276946248367025,-0.253306158899251,-0.5350885298373684,-0.6981072117077293,0.3490845159453109,13
0.017765402793884277,0.001356586036566388,0.001521158218383789,0.0004993081034489231,False,True,False,False,"{'copy_X': False, 'fit_intercept': True, 'normalize': False, 'positive': False}",0.34660946454484864,0.26911645066697754,0.2020745616327334,0.2936646821473312,0.4016932381682313,0.17525967992224012,0.396185437039143,0.4266996436496795,0.27692772310527836,0.3307636058111616,0.3118994486687624,0.08001538870448224,5,-0.4132376540320195,-0.601513841943206,-1.477467181104011,-0.8933004174158541,-0.5849263024380726,-0.8935774491768614,-0.9280292494600796,-0.34886901004399873,-0.24985712179752495,-0.5331606145586187,-0.6923938841970247,0.3449119296621667,5
0.017009258270263672,0.0012582254666307607,0.001386737823486328,0.0004824198575361643,False,False,True,True,"{'copy_X': False, 'fit_intercept': False, 'normalize': True, 'positive': True}",0.33984668639244653,0.26889382364161196,0.1928863940164044,0.28244463769273986,0.40007471202236156,0.17485472837440674,0.3912342556931846,0.42037675771490723,0.2688910210613673,0.3284811513002198,0.306798416790965,0.0800900543166527,9,-0.4175147814570302,-0.6016970629740668,-1.4944803197443663,-0.9074903781064528,-0.5865086320627697,-0.8940162000931731,-0.9356389385770484,-0.35271665976591376,-0.2526341985927514,-0.5349789777862055,-0.6977676149159778,0.34895341644313865,9
0.013377714157104491,0.0007838172551940712,0.0011043548583984375,0.0003037264053020127,False,False,True,False,"{'copy_X': False, 'fit_intercept': False, 'normalize': True, 'positive': False}",0.3466643052921299,0.26939554295594326,0.20209751515265562,0.29366922960085173,0.40255615446705695,0.17614213986609695,0.3968741765398611,0.4267939083051395,0.2776670830923358,0.33096850428616176,0.3122828559558232,0.08000507665335377,1,-0.41320296993342587,-0.6012841502568276,-1.4774246795484203,-0.8932946662633556,-0.5840826842940284,-0.8926213345230296,-0.9269706953258586,-0.34881164741258186,-0.24960163646882202,-0.5329973780732724,-0.6920291842099622,0.3448552299885282,1
0.016799283027648926,0.0010764744645142049,0.0012866020202636718,0.0004559401510885203,False,False,False,True,"{'copy_X': False, 'fit_intercept': False, 'normalize': False, 'positive': True}",0.33984668639244653,0.26889382364161196,0.1928863940164044,0.28244463769273986,0.40007471202236156,0.17485472837440674,0.3912342556931846,0.42037675771490723,0.2688910210613673,0.3284811513002198,0.306798416790965,0.0800900543166527,9,-0.4175147814570302,-0.6016970629740668,-1.4944803197443663,-0.9074903781064528,-0.5865086320627697,-0.8940162000931731,-0.9356389385770484,-0.35271665976591376,-0.2526341985927514,-0.5349789777862055,-0.6977676149159778,0.34895341644313865,9
0.01350390911102295,0.0009231787526371763,0.000989246368408203,0.0003839644693420088,False,False,False,False,"{'copy_X': False, 'fit_intercept': False, 'normalize': False, 'positive': False}",0.3466643052921299,0.26939554295594326,0.20209751515265562,0.29366922960085173,0.40255615446705695,0.17614213986609695,0.3968741765398611,0.4267939083051395,0.2776670830923358,0.33096850428616176,0.3122828559558232,0.08000507665335377,1,-0.41320296993342587,-0.6012841502568276,-1.4774246795484203,-0.8932946662633556,-0.5840826842940284,-0.8926213345230296,-0.9269706953258586,-0.34881164741258186,-0.24960163646882202,-0.5329973780732724,-0.6920291842099622,0.3448552299885282,1
