date,tempChange,stdDeviation,period
2009-01-30,0.7,0.6,m
2010-01-30,0.9,0.6,m
2011-01-30,1.1,0.6,m
2012-01-30,0.3,0.6,m
2013-01-30,2,0.6,m
2014-01-30,1.2,0.6,m
2015-01-30,0.4,0.6,m
2016-01-30,0.9,0.6,m
2017-01-30,1.1,0.6,m
2009-02-28,0.7,0.6,m
2010-02-28,1.1,0.6,m
2011-02-28,0.1,0.6,m
2012-02-28,-0,0.6,m
2013-02-28,1,0.6,m
2014-02-28,0.4,0.6,m
2015-02-28,1.9,0.6,m
2016-02-28,1.3,0.6,m
2017-02-28,0.7,0.6,m
2009-03-30,0.5,0.5,m
2010-03-30,0.4,0.5,m
2011-03-30,-0.7,0.5,m
2012-03-30,-0.8,0.5,m
2013-03-30,0.9,0.5,m
2014-03-30,0.9,0.5,m
2015-03-30,0.8,0.5,m
2016-03-30,1.8,0.5,m
2017-03-30,1.7,0.5,m
2009-04-30,0.7,0.6,m
2010-04-30,1.5,0.6,m
2011-04-30,-0.3,0.6,m
2012-04-30,0.3,0.6,m
2013-04-30,1.2,0.6,m
2014-04-30,1.3,0.6,m
2015-04-30,-0.4,0.6,m
2016-04-30,2.1,0.6,m
2017-04-30,0.2,0.6,m
2009-05-30,0.4,0.8,m
2010-05-30,0.9,0.8,m
2011-05-30,-0.9,0.8,m
2012-05-30,-0.1,0.8,m
2013-05-30,1.4,0.8,m
2014-05-30,2,0.8,m
2015-05-30,0.3,0.8,m
2016-05-30,2.3,0.8,m
2017-05-30,1,0.8,m
2009-06-30,0.7,0.7,m
2010-06-30,0.4,0.7,m
2011-06-30,-0.5,0.7,m
2012-06-30,-0.5,0.7,m
2013-06-30,0.9,0.7,m
2014-06-30,0.6,0.7,m
2015-06-30,1.3,0.7,m
2016-06-30,1.3,0.7,m
2017-06-25,0.5,0.7,m
2009-07-30,0.9,0.7,m
2010-07-30,1.2,0.7,m
2011-07-30,0.7,0.7,m
2012-07-30,-0.1,0.7,m
2013-07-30,1.6,0.7,m
2014-07-30,0.5,0.7,m
2015-07-30,0.6,0.7,m
2016-07-30,1.1,0.7,m
2009-08-30,2.5,0.7,m
2010-08-30,0.3,0.7,m
2011-08-30,1.2,0.7,m
2012-08-30,0.5,0.7,m
2013-08-30,1.8,0.7,m
2014-08-30,0.5,0.7,m
2015-08-30,0.9,0.7,m
2016-08-30,0.7,0.7,m
2009-09-30,1.4,0.7,m
2010-09-30,0.5,0.7,m
2011-09-30,0.4,0.7,m
2012-09-30,1.3,0.7,m
2013-09-30,2.8,0.7,m
2014-09-30,1.4,0.7,m
2015-09-30,0.6,0.7,m
2016-09-30,0.3,0.7,m
2009-10-30,0.6,0.8,m
2010-10-30,-0.1,0.8,m
2011-10-30,0.7,0.8,m
2012-10-30,1,0.8,m
2013-10-30,1.7,0.8,m
2014-10-30,2.1,0.8,m
2015-10-30,3,0.8,m
2016-10-30,-0.2,0.8,m
2009-11-30,2.2,0.7,m
2010-11-30,-0.3,0.7,m
2011-11-30,0.6,0.7,m
2012-11-30,1.5,0.7,m
2013-11-30,0.8,0.7,m
2014-11-30,2,0.7,m
2015-11-30,2.1,0.7,m
2016-11-30,0.8,0.7,m
2008-12-30,0.3,0.7,m
2009-12-30,1.1,0.7,m
2010-12-30,-0.3,0.7,m
2011-12-30,-0.2,0.7,m
2012-12-30,1.4,0.7,m
2013-12-30,0.9,0.7,m
2014-12-30,1.1,0.7,m
2015-12-30,1.2,0.7,m
2016-12-30,1,0.7,m
2009-02-28,0.5,0.4,s
2010-02-28,1,0.4,s
2011-02-28,0.3,0.4,s
2012-02-28,0,0.4,s
2013-02-28,1.5,0.4,s
2014-02-28,0.9,0.4,s
2015-02-28,1.1,0.4,s
2016-02-28,1.1,0.4,s
2017-02-28,0.9,0.4,s
2009-05-30,0.6,0.5,s
2010-05-30,0.9,0.5,s
2011-05-30,-0.6,0.5,s
2012-05-30,-0.2,0.5,s
2013-05-30,1.2,0.5,s
2014-05-30,1.4,0.5,s
2015-05-30,0.2,0.5,s
2016-05-30,2.1,0.5,s
2017-05-30,1,0.5,s
2009-08-30,1.4,0.5,s
2010-08-30,0.6,0.5,s
2011-08-30,0.5,0.5,s
2012-08-30,-0,0.5,s
2013-08-30,1.4,0.5,s
2014-08-30,0.5,0.5,s
2015-08-30,0.9,0.5,s
2016-08-30,1,0.5,s
2009-11-30,1.4,0.5,s
2010-11-30,0,0.5,s
2011-11-30,0.6,0.5,s
2012-11-30,1.3,0.5,s
2013-11-30,1.7,0.5,s
2014-11-30,1.8,0.5,s
2015-11-30,1.9,0.5,s
2016-11-30,0.3,0.5,s
2008-12-30,0.6,0.3,y
2009-12-30,1,0.3,y
2010-12-30,0.6,0.3,y
2011-12-30,0.2,0.3,y
2012-12-30,0.3,0.3,y
2013-12-30,1.4,0.3,y
2014-12-30,1.1,0.3,y
2015-12-30,1.1,0.3,y
2016-12-30,1.1,0.3,y